"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,150,151,1,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","1",1.85777e+12,1,1,0,1
1,150,151,2,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","2",1.85777e+12,1,1,0,1
1,150,151,3,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","3",1.85777e+12,1,1,0,1
1,150,151,4,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","4",1.85777e+12,1,1,0,1
1,150,151,5,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","5",1.85777e+12,1,1,0,1
1,150,151,6,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","6",1.85777e+12,1,1,0,1
1,150,151,7,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","7",1.85777e+12,1,1,0,1
1,150,151,8,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","8",1.85777e+12,1,1,0,1
1,150,151,9,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","9",1.85777e+12,1,1,0,1
1,150,151,10,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","10",1.85777e+12,1,1,0,1
1,150,151,11,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","11",1.85777e+12,1,1,0,1
1,150,151,12,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","12",1.85777e+12,1,1,0,1
1,150,151,13,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","13",1.85777e+12,1,1,0,1
1,150,151,14,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","14",1.85777e+12,1,1,0,1
1,150,151,15,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","15",1.85777e+12,1,1,0,1
1,150,151,16,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","16",1.85777e+12,1,1,0,1
1,150,151,17,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","17",1.85777e+12,1,1,0,1
1,150,151,18,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","18",1.85777e+12,1,1,0,1
1,150,151,19,1.85777e+12,1,1,1,1,1.85777e+12,1.85777e+12,1.85777e+12,19,19,19,19,19,19,"v","19",1.85777e+12,1,1,0,1
