"r0_label","r1_label","r2_label","v_label","yr","r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_n","z_n_pct","z_g_score","z"
"World","Europe","Eastern Europe","Arkhangel'sk",1990,1,150,151,18,1,0.0154456874281097,0.0154456874281097,0.0154456874281097,0.0154456874281097,19,19,19,19,19,19,"v","18",1,1,0,0.0154456874281097
"World","Europe","Eastern Europe","Arkhangel'sk",1991,1,150,151,18,1,0.0158855703351093,0.0158855703351093,0.0158855703351093,0.0158855703351093,19,19,19,19,19,19,"v","18",1,1,0,0.0158855703351093
"World","Europe","Eastern Europe","Arkhangel'sk",1992,1,150,151,18,1,0.00708482373698783,0.00708482373698783,0.00708482373698783,0.00708482373698783,19,19,19,19,19,19,"v","18",1,1,0,0.00708482373698783
"World","Europe","Eastern Europe","Arkhangel'sk",1993,1,150,151,18,1,0.0173681073048625,0.0173681073048625,0.0173681073048625,0.0173681073048625,19,19,19,19,19,19,"v","18",1,1,0,0.0173681073048625
"World","Europe","Eastern Europe","Arkhangel'sk",1994,1,150,151,18,1,0.00976449575096331,0.00976449575096331,0.00976449575096331,0.00976449575096331,19,19,19,19,19,19,"v","18",1,1,0,0.00976449575096331
"World","Europe","Eastern Europe","Arkhangel'sk",1995,1,150,151,18,1,0.00858119260752836,0.00858119260752836,0.00858119260752836,0.00858119260752836,19,19,19,19,19,19,"v","18",1,1,0,0.00858119260752836
"World","Europe","Eastern Europe","Arkhangel'sk",1996,1,150,151,18,1,0.0103170506561721,0.0103170506561721,0.0103170506561721,0.0103170506561721,19,19,19,19,19,19,"v","18",1,1,0,0.0103170506561721
"World","Europe","Eastern Europe","Arkhangel'sk",1997,1,150,151,18,1,0.0104845628243135,0.0104845628243135,0.0104845628243135,0.0104845628243135,19,19,19,19,19,19,"v","18",1,1,0,0.0104845628243135
"World","Europe","Eastern Europe","Arkhangel'sk",1998,1,150,151,18,1,0.0110531800028784,0.0110531800028784,0.0110531800028784,0.0110531800028784,19,19,19,19,19,19,"v","18",1,1,0,0.0110531800028784
"World","Europe","Eastern Europe","Arkhangel'sk",1999,1,150,151,18,1,0.0100823073795708,0.0100823073795708,0.0100823073795708,0.0100823073795708,19,19,19,19,19,19,"v","18",1,1,0,0.0100823073795708
"World","Europe","Eastern Europe","Arkhangel'sk",2000,1,150,151,18,1,0.00948645974211874,0.00948645974211874,0.00948645974211874,0.00948645974211874,19,19,19,19,19,19,"v","18",1,1,0,0.00948645974211874
"World","Europe","Eastern Europe","Arkhangel'sk",2001,1,150,151,18,1,0.0100712711203893,0.0100712711203893,0.0100712711203893,0.0100712711203893,19,19,19,19,19,19,"v","18",1,1,0,0.0100712711203893
"World","Europe","Eastern Europe","Arkhangel'sk",2002,1,150,151,18,1,0.00941782918344317,0.00941782918344317,0.00941782918344317,0.00941782918344317,19,19,19,19,19,19,"v","18",1,1,0,0.00941782918344317
"World","Europe","Eastern Europe","Arkhangel'sk",2003,1,150,151,18,1,0.00878227344966351,0.00878227344966351,0.00878227344966351,0.00878227344966351,19,19,19,19,19,19,"v","18",1,1,0,0.00878227344966351
"World","Europe","Eastern Europe","Arkhangel'sk",2004,1,150,151,18,1,0.00886342743138177,0.00886342743138177,0.00886342743138177,0.00886342743138177,19,19,19,19,19,19,"v","18",1,1,0,0.00886342743138177
"World","Europe","Eastern Europe","Arkhangel'sk",2005,1,150,151,18,1,0.0087467676769463,0.0087467676769463,0.0087467676769463,0.0087467676769463,19,19,19,19,19,19,"v","18",1,1,0,0.0087467676769463
"World","Europe","Eastern Europe","Arkhangel'sk",2006,1,150,151,18,1,0.008492734182409,0.008492734182409,0.008492734182409,0.008492734182409,19,19,19,19,19,19,"v","18",1,1,0,0.008492734182409
"World","Europe","Eastern Europe","Arkhangel'sk",2007,1,150,151,18,1,0.00836452114507743,0.00836452114507743,0.00836452114507743,0.00836452114507743,19,19,19,19,19,19,"v","18",1,1,0,0.00836452114507743
"World","Europe","Eastern Europe","Arkhangel'sk",2008,1,150,151,18,1,0.0083089321072186,0.0083089321072186,0.0083089321072186,0.0083089321072186,19,19,19,19,19,19,"v","18",1,1,0,0.0083089321072186
"World","Europe","Eastern Europe","Arkhangel'sk",2009,1,150,151,18,1,0.00910007488131586,0.00910007488131586,0.00910007488131586,0.00910007488131586,19,19,19,19,19,19,"v","18",1,1,0,0.00910007488131586
"World","Europe","Eastern Europe","Arkhangel'sk",2010,1,150,151,18,1,0.00853814953138212,0.00853814953138212,0.00853814953138212,0.00853814953138212,19,19,19,19,19,19,"v","18",1,1,0,0.00853814953138212
"World","Europe","Eastern Europe","Arkhangel'sk",2011,1,150,151,18,1,0.00809652632191,0.00809652632191,0.00809652632191,0.00809652632191,19,19,19,19,19,19,"v","18",1,1,0,0.00809652632191
"World","Europe","Eastern Europe","Arkhangel'sk",2012,1,150,151,18,1,0.00798934721624763,0.00798934721624763,0.00798934721624763,0.00798934721624763,19,19,19,19,19,19,"v","18",1,1,0,0.00798934721624763
"World","Europe","Eastern Europe","Chukot",1990,1,150,151,13,1,0.0154456874281097,0.0154456874281097,0.0154456874281097,0.0154456874281097,19,19,19,19,19,19,"v","13",1,1,0,0.0154456874281097
"World","Europe","Eastern Europe","Chukot",1991,1,150,151,13,1,0.0158855703351093,0.0158855703351093,0.0158855703351093,0.0158855703351093,19,19,19,19,19,19,"v","13",1,1,0,0.0158855703351093
"World","Europe","Eastern Europe","Chukot",1992,1,150,151,13,1,0.00708482373698783,0.00708482373698783,0.00708482373698783,0.00708482373698783,19,19,19,19,19,19,"v","13",1,1,0,0.00708482373698783
"World","Europe","Eastern Europe","Chukot",1993,1,150,151,13,1,0.0173681073048625,0.0173681073048625,0.0173681073048625,0.0173681073048625,19,19,19,19,19,19,"v","13",1,1,0,0.0173681073048625
"World","Europe","Eastern Europe","Chukot",1994,1,150,151,13,1,0.00976449575096331,0.00976449575096331,0.00976449575096331,0.00976449575096331,19,19,19,19,19,19,"v","13",1,1,0,0.00976449575096331
"World","Europe","Eastern Europe","Chukot",1995,1,150,151,13,1,0.00858119260752836,0.00858119260752836,0.00858119260752836,0.00858119260752836,19,19,19,19,19,19,"v","13",1,1,0,0.00858119260752836
"World","Europe","Eastern Europe","Chukot",1996,1,150,151,13,1,0.0103170506561721,0.0103170506561721,0.0103170506561721,0.0103170506561721,19,19,19,19,19,19,"v","13",1,1,0,0.0103170506561721
"World","Europe","Eastern Europe","Chukot",1997,1,150,151,13,1,0.0104845628243135,0.0104845628243135,0.0104845628243135,0.0104845628243135,19,19,19,19,19,19,"v","13",1,1,0,0.0104845628243135
"World","Europe","Eastern Europe","Chukot",1998,1,150,151,13,1,0.0110531800028784,0.0110531800028784,0.0110531800028784,0.0110531800028784,19,19,19,19,19,19,"v","13",1,1,0,0.0110531800028784
"World","Europe","Eastern Europe","Chukot",1999,1,150,151,13,1,0.0100823073795708,0.0100823073795708,0.0100823073795708,0.0100823073795708,19,19,19,19,19,19,"v","13",1,1,0,0.0100823073795708
"World","Europe","Eastern Europe","Chukot",2000,1,150,151,13,1,0.00948645974211874,0.00948645974211874,0.00948645974211874,0.00948645974211874,19,19,19,19,19,19,"v","13",1,1,0,0.00948645974211874
"World","Europe","Eastern Europe","Chukot",2001,1,150,151,13,1,0.0100712711203893,0.0100712711203893,0.0100712711203893,0.0100712711203893,19,19,19,19,19,19,"v","13",1,1,0,0.0100712711203893
"World","Europe","Eastern Europe","Chukot",2002,1,150,151,13,1,0.00941782918344317,0.00941782918344317,0.00941782918344317,0.00941782918344317,19,19,19,19,19,19,"v","13",1,1,0,0.00941782918344317
"World","Europe","Eastern Europe","Chukot",2003,1,150,151,13,1,0.00878227344966351,0.00878227344966351,0.00878227344966351,0.00878227344966351,19,19,19,19,19,19,"v","13",1,1,0,0.00878227344966351
"World","Europe","Eastern Europe","Chukot",2004,1,150,151,13,1,0.00886342743138177,0.00886342743138177,0.00886342743138177,0.00886342743138177,19,19,19,19,19,19,"v","13",1,1,0,0.00886342743138177
"World","Europe","Eastern Europe","Chukot",2005,1,150,151,13,1,0.0087467676769463,0.0087467676769463,0.0087467676769463,0.0087467676769463,19,19,19,19,19,19,"v","13",1,1,0,0.0087467676769463
"World","Europe","Eastern Europe","Chukot",2006,1,150,151,13,1,0.008492734182409,0.008492734182409,0.008492734182409,0.008492734182409,19,19,19,19,19,19,"v","13",1,1,0,0.008492734182409
"World","Europe","Eastern Europe","Chukot",2007,1,150,151,13,1,0.00836452114507743,0.00836452114507743,0.00836452114507743,0.00836452114507743,19,19,19,19,19,19,"v","13",1,1,0,0.00836452114507743
"World","Europe","Eastern Europe","Chukot",2008,1,150,151,13,1,0.0083089321072186,0.0083089321072186,0.0083089321072186,0.0083089321072186,19,19,19,19,19,19,"v","13",1,1,0,0.0083089321072186
"World","Europe","Eastern Europe","Chukot",2009,1,150,151,13,1,0.00910007488131586,0.00910007488131586,0.00910007488131586,0.00910007488131586,19,19,19,19,19,19,"v","13",1,1,0,0.00910007488131586
"World","Europe","Eastern Europe","Chukot",2010,1,150,151,13,1,0.00853814953138212,0.00853814953138212,0.00853814953138212,0.00853814953138212,19,19,19,19,19,19,"v","13",1,1,0,0.00853814953138212
"World","Europe","Eastern Europe","Chukot",2011,1,150,151,13,1,0.00809652632191,0.00809652632191,0.00809652632191,0.00809652632191,19,19,19,19,19,19,"v","13",1,1,0,0.00809652632191
"World","Europe","Eastern Europe","Chukot",2012,1,150,151,13,1,0.00798934721624763,0.00798934721624763,0.00798934721624763,0.00798934721624763,19,19,19,19,19,19,"v","13",1,1,0,0.00798934721624763
"World","Europe","Eastern Europe","City of St. Petersburg",1990,1,150,151,11,1,0.0154456874281097,0.0154456874281097,0.0154456874281097,0.0154456874281097,19,19,19,19,19,19,"v","11",1,1,0,0.0154456874281097
"World","Europe","Eastern Europe","City of St. Petersburg",1991,1,150,151,11,1,0.0158855703351093,0.0158855703351093,0.0158855703351093,0.0158855703351093,19,19,19,19,19,19,"v","11",1,1,0,0.0158855703351093
"World","Europe","Eastern Europe","City of St. Petersburg",1992,1,150,151,11,1,0.00708482373698783,0.00708482373698783,0.00708482373698783,0.00708482373698783,19,19,19,19,19,19,"v","11",1,1,0,0.00708482373698783
"World","Europe","Eastern Europe","City of St. Petersburg",1993,1,150,151,11,1,0.0173681073048625,0.0173681073048625,0.0173681073048625,0.0173681073048625,19,19,19,19,19,19,"v","11",1,1,0,0.0173681073048625
"World","Europe","Eastern Europe","City of St. Petersburg",1994,1,150,151,11,1,0.00976449575096331,0.00976449575096331,0.00976449575096331,0.00976449575096331,19,19,19,19,19,19,"v","11",1,1,0,0.00976449575096331
"World","Europe","Eastern Europe","City of St. Petersburg",1995,1,150,151,11,1,0.00858119260752836,0.00858119260752836,0.00858119260752836,0.00858119260752836,19,19,19,19,19,19,"v","11",1,1,0,0.00858119260752836
"World","Europe","Eastern Europe","City of St. Petersburg",1996,1,150,151,11,1,0.0103170506561721,0.0103170506561721,0.0103170506561721,0.0103170506561721,19,19,19,19,19,19,"v","11",1,1,0,0.0103170506561721
