"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,150,151,1,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","1",77062828.345926,1,1,0,1
1,150,151,2,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","2",77062828.345926,1,1,0,1
1,150,151,3,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","3",77062828.345926,1,1,0,1
1,150,151,4,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","4",77062828.345926,1,1,0,1
1,150,151,5,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","5",77062828.345926,1,1,0,1
1,150,151,6,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","6",77062828.345926,1,1,0,1
1,150,151,7,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","7",77062828.345926,1,1,0,1
1,150,151,8,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","8",77062828.345926,1,1,0,1
1,150,151,9,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","9",77062828.345926,1,1,0,1
1,150,151,10,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","10",77062828.345926,1,1,0,1
1,150,151,11,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","11",77062828.345926,1,1,0,1
1,150,151,12,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","12",77062828.345926,1,1,0,1
1,150,151,13,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","13",77062828.345926,1,1,0,1
1,150,151,14,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","14",77062828.345926,1,1,0,1
1,150,151,15,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","15",77062828.345926,1,1,0,1
1,150,151,16,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","16",77062828.345926,1,1,0,1
1,150,151,17,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","17",77062828.345926,1,1,0,1
1,150,151,18,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","18",77062828.345926,1,1,0,1
1,150,151,19,77062828.345926,1,1,1,1,77062828.345926,77062828.345926,77062828.345926,19,19,19,19,19,19,"v","19",77062828.345926,1,1,0,1
