"rgn_id","rgn_name","area_km2"
18,"Arkhangel'sk",53241.5
13,"Chukot",31422.5058594
11,"City of St. Petersburg",777.604858398
6,"Kaliningrad",2012.69750977
5,"Kamchatka",12604.0751953
12,"Karelia",5584.85009766
7,"Khabarovsk",22535.3710938
8,"Koryak",20905.25
2,"Krasnodar",5330.36328125
10,"Leningrad",4058.0012207
9,"Maga Buryatdan",13609.609375
16,"Murmansk",11872.9169922
15,"Nenets",19939.4199219
1,"Primor'ye",8803.88964844
3,"Rostov",936.193725586
17,"Sakha",45533.75
4,"Sakhalin",26143.0351562
19,"Taymyr",63710.6484375
14,"Yamal-Nenets",32341.3007812
