"rgn_id","sector","weight"
18,"cf",1
13,"cf",1
11,"cf",1
6,"cf",1
5,"cf",1
12,"cf",1
7,"cf",1
8,"cf",1
2,"cf",1
10,"cf",1
9,"cf",1
16,"cf",1
15,"cf",1
1,"cf",1
3,"cf",1
17,"cf",1
4,"cf",1
19,"cf",1
14,"cf",1
18,"mar",1
13,"mar",1
11,"mar",1
6,"mar",1
5,"mar",1
12,"mar",1
7,"mar",1
8,"mar",1
2,"mar",1
10,"mar",1
9,"mar",1
16,"mar",1
15,"mar",1
1,"mar",1
3,"mar",1
17,"mar",1
4,"mar",1
19,"mar",1
14,"mar",1
18,"mmw",1
13,"mmw",1
11,"mmw",1
6,"mmw",1
5,"mmw",1
12,"mmw",1
7,"mmw",1
8,"mmw",1
2,"mmw",1
10,"mmw",1
9,"mmw",1
16,"mmw",1
15,"mmw",1
1,"mmw",1
3,"mmw",1
17,"mmw",1
4,"mmw",1
19,"mmw",1
14,"mmw",1
18,"og",1
13,"og",1
11,"og",1
6,"og",1
5,"og",1
12,"og",1
7,"og",1
8,"og",1
2,"og",1
10,"og",1
9,"og",1
16,"og",1
15,"og",1
1,"og",1
3,"og",1
17,"og",1
4,"og",1
19,"og",1
14,"og",1
18,"tour",1
13,"tour",1
11,"tour",1
6,"tour",1
5,"tour",1
12,"tour",1
7,"tour",1
8,"tour",1
2,"tour",1
10,"tour",1
9,"tour",1
16,"tour",1
15,"tour",1
1,"tour",1
3,"tour",1
17,"tour",1
4,"tour",1
19,"tour",1
14,"tour",1
