"rgn_id","year","area_km2"
18,0,1162
13,0,1162
11,0,1162
6,0,1162
5,0,1162
12,0,1162
7,0,1162
8,0,1162
2,0,1162
10,0,1162
9,0,1162
16,0,1162
15,0,1162
1,0,1162
3,0,1162
17,0,1162
4,0,1162
19,0,1162
14,0,1162
18,1932,909
13,1932,909
11,1932,909
6,1932,909
5,1932,909
12,1932,909
7,1932,909
8,1932,909
2,1932,909
10,1932,909
9,1932,909
16,1932,909
15,1932,909
1,1932,909
3,1932,909
17,1932,909
4,1932,909
19,1932,909
14,1932,909
18,1934,1293
13,1934,1293
11,1934,1293
6,1934,1293
5,1934,1293
12,1934,1293
7,1934,1293
8,1934,1293
2,1934,1293
10,1934,1293
9,1934,1293
16,1934,1293
15,1934,1293
1,1934,1293
3,1934,1293
17,1934,1293
4,1934,1293
19,1934,1293
14,1934,1293
18,1935,38
13,1935,38
11,1935,38
6,1935,38
5,1935,38
12,1935,38
7,1935,38
8,1935,38
2,1935,38
10,1935,38
9,1935,38
16,1935,38
15,1935,38
1,1935,38
3,1935,38
17,1935,38
4,1935,38
19,1935,38
14,1935,38
18,1956,132
13,1956,132
11,1956,132
6,1956,132
5,1956,132
12,1956,132
7,1956,132
8,1956,132
2,1956,132
10,1956,132
9,1956,132
16,1956,132
15,1956,132
1,1956,132
3,1956,132
17,1956,132
4,1956,132
19,1956,132
14,1956,132
18,1957,56
13,1957,56
11,1957,56
6,1957,56
5,1957,56
12,1957,56
7,1957,56
8,1957,56
2,1957,56
10,1957,56
9,1957,56
16,1957,56
15,1957,56
1,1957,56
3,1957,56
17,1957,56
4,1957,56
19,1957,56
14,1957,56
18,1958,25
13,1958,25
11,1958,25
6,1958,25
5,1958,25
12,1958,25
7,1958,25
8,1958,25
2,1958,25
10,1958,25
9,1958,25
16,1958,25
15,1958,25
1,1958,25
3,1958,25
17,1958,25
4,1958,25
19,1958,25
14,1958,25
18,1961,46
13,1961,46
11,1961,46
6,1961,46
5,1961,46
12,1961,46
7,1961,46
8,1961,46
2,1961,46
10,1961,46
9,1961,46
16,1961,46
15,1961,46
1,1961,46
3,1961,46
17,1961,46
4,1961,46
19,1961,46
14,1961,46
18,1967,93
13,1967,93
11,1967,93
6,1967,93
5,1967,93
12,1967,93
7,1967,93
8,1967,93
2,1967,93
10,1967,93
9,1967,93
16,1967,93
15,1967,93
1,1967,93
3,1967,93
17,1967,93
4,1967,93
19,1967,93
14,1967,93
18,1971,839
13,1971,839
11,1971,839
6,1971,839
5,1971,839
12,1971,839
7,1971,839
8,1971,839
2,1971,839
10,1971,839
9,1971,839
16,1971,839
15,1971,839
1,1971,839
3,1971,839
17,1971,839
4,1971,839
19,1971,839
14,1971,839
18,1972,265
13,1972,265
11,1972,265
6,1972,265
5,1972,265
12,1972,265
7,1972,265
8,1972,265
2,1972,265
10,1972,265
9,1972,265
16,1972,265
15,1972,265
1,1972,265
3,1972,265
17,1972,265
4,1972,265
19,1972,265
14,1972,265
18,1973,127
13,1973,127
11,1973,127
6,1973,127
5,1973,127
12,1973,127
7,1973,127
8,1973,127
2,1973,127
10,1973,127
9,1973,127
16,1973,127
15,1973,127
1,1973,127
3,1973,127
17,1973,127
4,1973,127
19,1973,127
14,1973,127
18,1974,13
13,1974,13
11,1974,13
6,1974,13
5,1974,13
12,1974,13
7,1974,13
8,1974,13
2,1974,13
10,1974,13
9,1974,13
16,1974,13
15,1974,13
1,1974,13
3,1974,13
17,1974,13
4,1974,13
19,1974,13
14,1974,13
18,1976,3624
13,1976,3624
11,1976,3624
6,1976,3624
5,1976,3624
12,1976,3624
7,1976,3624
8,1976,3624
2,1976,3624
10,1976,3624
9,1976,3624
16,1976,3624
15,1976,3624
1,1976,3624
3,1976,3624
17,1976,3624
4,1976,3624
19,1976,3624
14,1976,3624
18,1977,3079
13,1977,3079
11,1977,3079
6,1977,3079
5,1977,3079
12,1977,3079
7,1977,3079
8,1977,3079
2,1977,3079
10,1977,3079
9,1977,3079
16,1977,3079
15,1977,3079
1,1977,3079
3,1977,3079
17,1977,3079
4,1977,3079
19,1977,3079
14,1977,3079
18,1978,1113
13,1978,1113
11,1978,1113
6,1978,1113
5,1978,1113
12,1978,1113
7,1978,1113
8,1978,1113
2,1978,1113
10,1978,1113
9,1978,1113
16,1978,1113
15,1978,1113
1,1978,1113
3,1978,1113
17,1978,1113
4,1978,1113
19,1978,1113
14,1978,1113
18,1979,1809
