"cntry_key","year","jobs"
"RUS",1990,"76777449.8196337"
"RUS",1991,"75960798.2617844"
"RUS",1992,"74967755.3009278"
"RUS",1993,"72773205.3068389"
"RUS",1994,"70393822.1169949"
"RUS",1995,"70495354.3704125"
"RUS",1996,"69500147.5937299"
"RUS",1997,"68056606.4290921"
"RUS",1998,"67354105.2198045"
"RUS",1999,"72036238.0266758"
"RUS",2000,"72642522.0383004"
"RUS",2001,"71517451.9424324"
"RUS",2002,"72520475.5789266"
"RUS",2003,"73946440.7817226"
"RUS",2004,"74660648.7471081"
"RUS",2005,"75164140.1650294"
"RUS",2006,"75321726.95114"
"RUS",2007,"76336910.5120182"
"RUS",2008,"76646573.0126284"
"RUS",2009,"76440417.5652003"
"RUS",2010,"76320395.9361436"
"RUS",2011,"76906078.0888818"
"RUS",2012,"77062828.345926"
