"rgn_id","habitat","extent_rank"
18,"seagrass",668.91
13,"seagrass",668.91
11,"seagrass",668.91
6,"seagrass",668.91
5,"seagrass",668.91
12,"seagrass",668.91
7,"seagrass",668.91
8,"seagrass",668.91
2,"seagrass",668.91
10,"seagrass",668.91
9,"seagrass",668.91
16,"seagrass",668.91
15,"seagrass",668.91
1,"seagrass",668.91
3,"seagrass",668.91
17,"seagrass",668.91
4,"seagrass",668.91
19,"seagrass",668.91
14,"seagrass",668.91
18,"seaice_shoreline",1840753.67647059
13,"seaice_shoreline",1840753.67647059
11,"seaice_shoreline",1840753.67647059
6,"seaice_shoreline",1840753.67647059
5,"seaice_shoreline",1840753.67647059
12,"seaice_shoreline",1840753.67647059
7,"seaice_shoreline",1840753.67647059
8,"seaice_shoreline",1840753.67647059
2,"seaice_shoreline",1840753.67647059
10,"seaice_shoreline",1840753.67647059
9,"seaice_shoreline",1840753.67647059
16,"seaice_shoreline",1840753.67647059
15,"seaice_shoreline",1840753.67647059
1,"seaice_shoreline",1840753.67647059
3,"seaice_shoreline",1840753.67647059
17,"seaice_shoreline",1840753.67647059
4,"seaice_shoreline",1840753.67647059
19,"seaice_shoreline",1840753.67647059
14,"seaice_shoreline",1840753.67647059
