"cntry_key","sector","year","value"
"RUS","cf",2000,132168.19
"RUS","cf",2001,130451.72
"RUS","cf",2002,124629.96
"RUS","cf",2003,124368.93
"RUS","cf",2004,126979.23
"RUS","cf",2005,126979.23
"RUS","mar",2000,1.340499935491
"RUS","mar",2001,1.443615315903
"RUS","mar",2002,1.443615315903
"RUS","mar",2003,1.443615315903
"RUS","mar",2004,1.443615315903
"RUS","mar",2005,1.557751463931
"RUS","mmw",1998,0
"RUS","mmw",2008,3.83
"RUS","tour",2005,360979.470794
"RUS","tour",2006,367965.474884
"RUS","tour",2007,380193.431551
"RUS","tour",2008,378086.852478
"RUS","tour",2009,410244.026984
"RUS","tour",2010,389139.044081
