"rgn_id","species","sust_coeff"
18,"Aquatic invertebrates nei",0.542156863
13,"Aquatic invertebrates nei",0.542156863
11,"Aquatic invertebrates nei",0.542156863
6,"Aquatic invertebrates nei",0.542156863
5,"Aquatic invertebrates nei",0.542156863
12,"Aquatic invertebrates nei",0.542156863
7,"Aquatic invertebrates nei",0.542156863
8,"Aquatic invertebrates nei",0.542156863
2,"Aquatic invertebrates nei",0.542156863
10,"Aquatic invertebrates nei",0.542156863
9,"Aquatic invertebrates nei",0.542156863
16,"Aquatic invertebrates nei",0.542156863
15,"Aquatic invertebrates nei",0.542156863
1,"Aquatic invertebrates nei",0.542156863
3,"Aquatic invertebrates nei",0.542156863
17,"Aquatic invertebrates nei",0.542156863
4,"Aquatic invertebrates nei",0.542156863
19,"Aquatic invertebrates nei",0.542156863
14,"Aquatic invertebrates nei",0.542156863
18,"Atlantic cod",0.283333333
13,"Atlantic cod",0.283333333
11,"Atlantic cod",0.283333333
6,"Atlantic cod",0.283333333
5,"Atlantic cod",0.283333333
12,"Atlantic cod",0.283333333
7,"Atlantic cod",0.283333333
8,"Atlantic cod",0.283333333
2,"Atlantic cod",0.283333333
10,"Atlantic cod",0.283333333
9,"Atlantic cod",0.283333333
16,"Atlantic cod",0.283333333
15,"Atlantic cod",0.283333333
1,"Atlantic cod",0.283333333
3,"Atlantic cod",0.283333333
17,"Atlantic cod",0.283333333
4,"Atlantic cod",0.283333333
19,"Atlantic cod",0.283333333
14,"Atlantic cod",0.283333333
18,"Atlantic salmon",0.43
13,"Atlantic salmon",0.43
11,"Atlantic salmon",0.43
6,"Atlantic salmon",0.43
5,"Atlantic salmon",0.43
12,"Atlantic salmon",0.43
7,"Atlantic salmon",0.43
8,"Atlantic salmon",0.43
2,"Atlantic salmon",0.43
10,"Atlantic salmon",0.43
9,"Atlantic salmon",0.43
16,"Atlantic salmon",0.43
15,"Atlantic salmon",0.43
1,"Atlantic salmon",0.43
3,"Atlantic salmon",0.43
17,"Atlantic salmon",0.43
4,"Atlantic salmon",0.43
19,"Atlantic salmon",0.43
14,"Atlantic salmon",0.43
18,"Cupped oysters nei",0.888095238
13,"Cupped oysters nei",0.888095238
11,"Cupped oysters nei",0.888095238
6,"Cupped oysters nei",0.888095238
5,"Cupped oysters nei",0.888095238
12,"Cupped oysters nei",0.888095238
7,"Cupped oysters nei",0.888095238
8,"Cupped oysters nei",0.888095238
2,"Cupped oysters nei",0.888095238
10,"Cupped oysters nei",0.888095238
9,"Cupped oysters nei",0.888095238
16,"Cupped oysters nei",0.888095238
15,"Cupped oysters nei",0.888095238
1,"Cupped oysters nei",0.888095238
3,"Cupped oysters nei",0.888095238
17,"Cupped oysters nei",0.888095238
4,"Cupped oysters nei",0.888095238
19,"Cupped oysters nei",0.888095238
14,"Cupped oysters nei",0.888095238
18,"Flatfishes nei",0.43
13,"Flatfishes nei",0.43
11,"Flatfishes nei",0.43
6,"Flatfishes nei",0.43
5,"Flatfishes nei",0.43
12,"Flatfishes nei",0.43
7,"Flatfishes nei",0.43
8,"Flatfishes nei",0.43
2,"Flatfishes nei",0.43
10,"Flatfishes nei",0.43
9,"Flatfishes nei",0.43
16,"Flatfishes nei",0.43
15,"Flatfishes nei",0.43
1,"Flatfishes nei",0.43
3,"Flatfishes nei",0.43
17,"Flatfishes nei",0.43
4,"Flatfishes nei",0.43
19,"Flatfishes nei",0.43
14,"Flatfishes nei",0.43
18,"Japanese sea cucumber",0.571405229
13,"Japanese sea cucumber",0.571405229
11,"Japanese sea cucumber",0.571405229
6,"Japanese sea cucumber",0.571405229
5,"Japanese sea cucumber",0.571405229
12,"Japanese sea cucumber",0.571405229
7,"Japanese sea cucumber",0.571405229
8,"Japanese sea cucumber",0.571405229
2,"Japanese sea cucumber",0.571405229
10,"Japanese sea cucumber",0.571405229
9,"Japanese sea cucumber",0.571405229
16,"Japanese sea cucumber",0.571405229
15,"Japanese sea cucumber",0.571405229
1,"Japanese sea cucumber",0.571405229
3,"Japanese sea cucumber",0.571405229
17,"Japanese sea cucumber",0.571405229
4,"Japanese sea cucumber",0.571405229
19,"Japanese sea cucumber",0.571405229
14,"Japanese sea cucumber",0.571405229
18,"Marine fishes nei",0.43
13,"Marine fishes nei",0.43
11,"Marine fishes nei",0.43
6,"Marine fishes nei",0.43
5,"Marine fishes nei",0.43
12,"Marine fishes nei",0.43
7,"Marine fishes nei",0.43
8,"Marine fishes nei",0.43
2,"Marine fishes nei",0.43
10,"Marine fishes nei",0.43
9,"Marine fishes nei",0.43
16,"Marine fishes nei",0.43
15,"Marine fishes nei",0.43
1,"Marine fishes nei",0.43
3,"Marine fishes nei",0.43
17,"Marine fishes nei",0.43
4,"Marine fishes nei",0.43
19,"Marine fishes nei",0.43
14,"Marine fishes nei",0.43
18,"Mediterranean mussel",0.8
13,"Mediterranean mussel",0.8
11,"Mediterranean mussel",0.8
6,"Mediterranean mussel",0.8
5,"Mediterranean mussel",0.8
12,"Mediterranean mussel",0.8
7,"Mediterranean mussel",0.8
8,"Mediterranean mussel",0.8
2,"Mediterranean mussel",0.8
10,"Mediterranean mussel",0.8
9,"Mediterranean mussel",0.8
16,"Mediterranean mussel",0.8
15,"Mediterranean mussel",0.8
1,"Mediterranean mussel",0.8
3,"Mediterranean mussel",0.8
17,"Mediterranean mussel",0.8
4,"Mediterranean mussel",0.8
19,"Mediterranean mussel",0.8
14,"Mediterranean mussel",0.8
18,"Mullets nei",0.5
13,"Mullets nei",0.5
11,"Mullets nei",0.5
6,"Mullets nei",0.5
5,"Mullets nei",0.5
12,"Mullets nei",0.5
7,"Mullets nei",0.5
8,"Mullets nei",0.5
2,"Mullets nei",0.5
10,"Mullets nei",0.5
9,"Mullets nei",0.5
16,"Mullets nei",0.5
15,"Mullets nei",0.5
1,"Mullets nei",0.5
3,"Mullets nei",0.5
17,"Mullets nei",0.5
4,"Mullets nei",0.5
19,"Mullets nei",0.5
14,"Mullets nei",0.5
18,"Sea mussels nei",0.77
13,"Sea mussels nei",0.77
11,"Sea mussels nei",0.77
6,"Sea mussels nei",0.77
5,"Sea mussels nei",0.77
12,"Sea mussels nei",0.77
7,"Sea mussels nei",0.77
8,"Sea mussels nei",0.77
2,"Sea mussels nei",0.77
10,"Sea mussels nei",0.77
9,"Sea mussels nei",0.77
16,"Sea mussels nei",0.77
15,"Sea mussels nei",0.77
1,"Sea mussels nei",0.77
3,"Sea mussels nei",0.77
17,"Sea mussels nei",0.77
4,"Sea mussels nei",0.77
19,"Sea mussels nei",0.77
14,"Sea mussels nei",0.77
18,"Sea trout",0.47
13,"Sea trout",0.47
11,"Sea trout",0.47
6,"Sea trout",0.47
5,"Sea trout",0.47
12,"Sea trout",0.47
7,"Sea trout",0.47
8,"Sea trout",0.47
2,"Sea trout",0.47
10,"Sea trout",0.47
9,"Sea trout",0.47
16,"Sea trout",0.47
15,"Sea trout",0.47
1,"Sea trout",0.47
3,"Sea trout",0.47
17,"Sea trout",0.47
4,"Sea trout",0.47
19,"Sea trout",0.47
14,"Sea trout",0.47
18,"Sea urchins nei",0.5
13,"Sea urchins nei",0.5
11,"Sea urchins nei",0.5
6,"Sea urchins nei",0.5
5,"Sea urchins nei",0.5
12,"Sea urchins nei",0.5
7,"Sea urchins nei",0.5
8,"Sea urchins nei",0.5
2,"Sea urchins nei",0.5
10,"Sea urchins nei",0.5
9,"Sea urchins nei",0.5
16,"Sea urchins nei",0.5
15,"Sea urchins nei",0.5
1,"Sea urchins nei",0.5
3,"Sea urchins nei",0.5
17,"Sea urchins nei",0.5
4,"Sea urchins nei",0.5
19,"Sea urchins nei",0.5
14,"Sea urchins nei",0.5
18,"Sturgeons nei",0.53
13,"Sturgeons nei",0.53
11,"Sturgeons nei",0.53
6,"Sturgeons nei",0.53
5,"Sturgeons nei",0.53
12,"Sturgeons nei",0.53
7,"Sturgeons nei",0.53
8,"Sturgeons nei",0.53
2,"Sturgeons nei",0.53
10,"Sturgeons nei",0.53
9,"Sturgeons nei",0.53
16,"Sturgeons nei",0.53
15,"Sturgeons nei",0.53
1,"Sturgeons nei",0.53
3,"Sturgeons nei",0.53
17,"Sturgeons nei",0.53
4,"Sturgeons nei",0.53
19,"Sturgeons nei",0.53
14,"Sturgeons nei",0.53
18,"Yesso scallop",0.8
13,"Yesso scallop",0.8
11,"Yesso scallop",0.8
6,"Yesso scallop",0.8
5,"Yesso scallop",0.8
12,"Yesso scallop",0.8
7,"Yesso scallop",0.8
8,"Yesso scallop",0.8
2,"Yesso scallop",0.8
10,"Yesso scallop",0.8
9,"Yesso scallop",0.8
16,"Yesso scallop",0.8
15,"Yesso scallop",0.8
1,"Yesso scallop",0.8
3,"Yesso scallop",0.8
17,"Yesso scallop",0.8
4,"Yesso scallop",0.8
19,"Yesso scallop",0.8
14,"Yesso scallop",0.8
