"rgn_id","rgn_name","area_km2"
1,"Primor'ye",1928.36504964
2,"Krasnodar",1098.79402161
3,"Rostov",213.062671488
4,"Sakhalin",4874.29334547
5,"Kamchatka",2581.15592369
6,"Kaliningrad",412.895065115
7,"Khabarovsk",4239.90256599
8,"Koryak",4367.89530895
9,"Maga Buryatdan",2774.41717056
10,"Leningrad",733.854264121
11,"City of St. Petersburg",186.396741251
12,"Karelia",1225.95478328
13,"Chukot",7152.65280049
14,"Yamal-Nenets",7591.8022622
15,"Nenets",4210.14280612
16,"Murmansk",2750.9582166
17,"Sakha",11961.1850428
18,"Arkhangel'sk",11988.2334106
19,"Taymyr",14153.5380903
